financial_year,town,dwelling_units_under_management
2018,Ang Mo Kio,50728
2018,Bedok,62156
2018,Bishan,20072
2018,Bukit Batok,43624
2018,Bukit Merah,54734
2018,Bukit Panjang,35325
2018,Choa Chu Kang,48900
2018,Clementi,26601
2018,Geylang,30189
2018,Hougang,56561
2018,Jurong East,24122
2018,Jurong West,75208
2018,Kallang_Whampoa,39931
2018,Pasir Ris,29654
2018,Punggol,49909
2018,Queenstown,32676
2018,Sembawang,27351
2018,Sengkang,67115
2018,Serangoon,21634
2018,Tampines,70754
2018,Toa Payoh,38454
2018,Woodlands,69900
2018,Yishun,64334
2018,Other Estates,22418